NoDefault,Zip,NAICS,ApprovalDate,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,ChgOffDate,DisbursementDate,DisbursementGross,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,RevLineCr_-1,RevLineCr_0,RevLineCr_N,RevLineCr_T,RevLineCr_Y
1,1.0044677,2.898939,-1.5974408,-0.065617174,-0.25873852,2.3118103,-0.3129244,-0.29899046,-0.17664681,-2.321978,-0.70216006,-1.4541214,-0.42319447,-0.25445136,-0.3867446,-0.36549425,1.0,0.0,0.70031875,1.0,-0.065617174,-0.8367273,0.0,1.0,0.0,0.0,0.0
1,1.2931869,1.1851382,-2.6714196,0.06311553,-0.25873852,-0.41722977,-0.3129244,-0.29899046,-0.17664681,-2.321978,-0.70216006,-2.5134566,-0.031895235,-0.25445136,0.06501197,-0.033674333,0.0,0.0,0.16584225,0.0,0.06311553,-1.2770481,0.0,0.0,1.0,0.0,0.0
0,1.5824311,-0.80131257,0.28996977,-0.7629193,-0.2057714,-0.41722977,-0.3129244,-0.15409243,-0.17664681,0.102397785,1.346068,0.27487892,-0.39691317,0.30788755,-0.5306161,-0.5481779,0.0,0.0,-0.90311074,0.0,-0.7629193,-0.5859986,0.0,0.0,0.0,1.0,0.0
1,1.7309903,1.1851382,-1.350716,1.8653734,-0.17928785,-0.41722977,-0.3129244,-0.29899046,-0.17664681,-2.321978,-0.70216006,-1.2760601,-0.27485117,-0.25445136,-0.24057113,-0.2555519,0.0,1.0,0.4330805,0.0,1.8653734,1.1127743,0.0,0.0,1.0,0.0,0.0
1,-0.14253494,-0.6026675,-0.20486218,-0.45181528,-0.25873852,-0.41722977,-0.3129244,-0.25069112,-0.17664681,0.102397785,-0.70216006,-0.17737079,-0.6860074,-0.25445136,-0.6457133,-0.6146083,0.0,0.0,-0.90311074,0.0,-0.45181528,-0.5279532,0.0,0.0,0.0,0.0,1.0
0,-0.07009267,-0.80131257,0.84492797,-0.5590925,-0.17928785,-0.41722977,-0.07218028,-0.009194402,-0.1767357,0.102397785,1.3718194,0.7651924,-0.6334156,-0.06696715,-0.63132614,-0.60630447,0.0,0.0,-0.90311074,0.0,-0.5590925,-0.1291915,0.0,0.0,0.0,0.0,1.0
1,1.8144563,1.6914884,0.3390383,-0.45181528,-0.23225495,-0.41722977,-0.3129244,-0.20239177,-0.17664681,2.5267735,-0.70216006,0.37358677,-0.6206312,-0.25445136,-0.6457133,-0.6146083,0.0,0.0,-0.90311074,0.0,-0.45181528,-0.23463495,0.0,0.0,0.0,0.0,1.0
0,-1.2585659,-0.45076242,0.7924039,-0.72000843,-0.17928785,-0.41722977,-0.3129244,-0.10579309,-0.1767357,0.102397785,1.4126022,0.7058387,-0.48159733,0.37744692,-0.5306161,-0.5481779,0.0,0.0,-0.90311074,0.0,-0.72000843,-0.31534898,0.0,0.0,1.0,0.0,0.0
1,1.2952868,-0.80131257,0.20772815,1.8653734,-0.23225495,-0.41722977,-0.19255236,-0.20239177,-0.17664681,0.102397785,-0.70216006,0.17617106,0.22215724,-0.25445136,0.2491675,0.1684402,0.0,1.0,0.4330805,0.0,1.8653734,1.8859117,0.0,1.0,0.0,0.0,0.0
1,-1.0464885,1.5395833,-0.8475908,-0.18362215,-0.23225495,2.3118103,-0.3129244,-0.29899046,-0.17664681,0.102397785,-0.70216006,-0.5812343,-0.045911923,-0.25445136,-0.014980594,-0.060246497,1.0,0.0,0.4330805,0.0,-0.18362215,-0.48536366,0.0,0.0,1.0,0.0,0.0
