NoDefault,Zip,NAICS,ApprovalDate,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,ChgOffDate,DisbursementDate,DisbursementGross,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,RevLineCr_-1,RevLineCr_0,RevLineCr_N,RevLineCr_T,RevLineCr_Y
0,-0.8648579,-0.45076242,0.60995185,-0.8701966,-0.12632073,-0.41722977,-0.3129244,-0.009194402,-0.1767357,0.102397785,1.4342754,0.54971254,-0.36008433,0.37366816,-0.5306161,-0.5481779,0.0,0.0,-0.90311074,0.0,-0.8701966,-0.54272217,0.0,0.0,0.0,0.0,1.0
1,1.6595979,1.1851382,-3.7308853,-0.45181528,-0.02038651,2.3118103,-0.3129244,-0.29899046,-0.1767357,-2.321978,-0.70216006,-3.5153735,-0.13118011,-0.25445136,-0.09900156,-0.066557385,1.0,0.0,0.96755695,0.0,-0.45181528,-2.3050358,0.0,0.0,1.0,0.0,0.0
1,-5.9646893,1.5551634,-2.4005063,1.8653734,0.29741618,-0.41722977,-0.3129244,-0.29899046,-0.17664681,-2.321978,-0.70216006,-2.2186234,0.08199036,-0.25445136,0.11105085,0.003526698,0.0,1.0,0.16584225,0.0,1.8653734,0.6109734,0.0,0.0,1.0,0.0,0.0
1,-1.3751035,-0.80131257,0.73020434,-0.45181528,-0.25873852,-0.41722977,-0.3129244,-0.25069112,-0.1767357,0.102397785,-0.70216006,0.6471301,-0.65534586,-0.25445136,-0.63132614,-0.60630447,0.0,0.0,-0.90311074,0.0,-0.45181528,-0.08900621,0.0,0.0,1.0,0.0,0.0
0,-1.3961012,-0.604615,-0.28295717,-1.1062065,-0.2057714,-0.41722977,-0.3129244,-0.29899046,-0.17664681,0.102397785,1.3563219,-0.2954331,-0.59840304,0.18217771,-0.5593904,-0.5647855,0.0,0.0,-0.90311074,0.0,-1.1062065,-1.2193462,0.0,0.0,0.0,0.0,1.0
1,-0.69950056,1.1461881,-0.7155896,1.2217098,0.35038328,-0.41722977,0.40930802,-0.29899046,-0.17664681,0.102397785,-0.70216006,-0.30769095,1.7610729,-0.25445136,1.7655733,2.1854336,0.0,1.0,1.7692717,0.0,1.2217098,1.0100785,0.0,1.0,0.0,0.0,0.0
1,-1.1331043,-0.45076242,0.67698914,1.2217098,0.24444905,-0.41722977,0.048191793,0.6669964,-0.17664681,0.102397785,-0.70216006,0.6361625,3.638725,-0.25445136,3.6157608,4.3211713,0.0,1.0,1.7692717,0.0,1.2217098,1.5125664,0.0,1.0,0.0,0.0,0.0
0,-0.3288901,-0.80131257,0.8539123,-0.74146384,-0.23225495,2.3118103,-0.19255236,-0.15409243,-0.1767357,0.102397785,1.4342754,0.7651924,-0.4555759,0.24620163,-0.5593904,-0.5647855,1.0,0.0,-0.90311074,0.0,-0.74146384,-0.30435812,0.0,0.0,0.0,0.0,1.0
1,0.97612077,-0.80131257,0.019056192,1.8653734,-0.23225495,-0.41722977,0.16856387,-0.20239177,-0.17664681,0.102397785,-0.70216006,-0.00059986225,1.9187605,-0.25445136,1.9209545,1.6157929,0.0,1.0,0.4330805,0.0,1.8653734,1.7918026,0.0,1.0,0.0,0.0,0.0
0,-0.05276952,-0.80131257,0.83525246,-0.580548,-0.23225495,-0.41722977,-0.3129244,-0.20239177,-0.17664681,0.102397785,1.372169,0.7458379,-0.5610953,0.11510802,-0.5881647,-0.58139306,0.0,0.0,-0.90311074,0.0,-0.580548,-0.16010326,0.0,0.0,0.0,0.0,1.0
