NoDefault,Zip,NAICS,ApprovalDate,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,ChgOffDate,DisbursementDate,DisbursementGross,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,RevLineCr_-1,RevLineCr_0,RevLineCr_N,RevLineCr_T,RevLineCr_Y
1,0.73701644,-0.80156714,-0.7791425,1.2152791,-0.23849937,-0.39654016,-0.33961818,-0.19807886,-0.18056494,0.11796523,-0.69951886,-0.7043011,0.551051,-0.2811249,0.57304597,0.81509155,0.0,1.0,1.7625515,0.0,1.2152791,0.78602076,0.0,1.0,0.0,0.0,0.0
0,-1.3540051,1.1957046,0.23258567,-0.74197644,-0.050229475,-0.39654016,-0.20244376,0.1081818,-0.18056494,0.11796523,1.3270068,0.19622853,-0.5713031,0.3685013,-0.53322583,-0.55221844,0.0,0.0,-0.9177782,0.0,-0.74197644,-0.604543,0.0,0.0,1.0,0.0,0.0
0,-1.0526475,-0.977797,0.12612459,-0.94518876,-0.23849937,-0.39654016,-0.20244376,-0.15432733,-0.18056494,0.11796523,1.4470291,0.11996633,-0.42709234,0.30561,-0.562035,-0.5689337,0.0,0.0,-0.9177782,1.0,-0.94518876,-0.84011596,0.0,0.0,0.0,0.0,1.0
0,-0.08645487,-0.80156714,0.53039837,-0.29277027,-0.26539508,2.3969634,-0.20244376,-0.24183038,-0.18056494,0.11796523,1.3694978,0.48666048,-0.54207516,0.44303915,-0.50441664,-0.53550315,1.0,0.0,-0.9177782,0.0,-0.29277027,-0.01834166,0.0,1.0,0.0,0.0,0.0
1,1.5779428,1.7048131,0.25693953,-0.06816718,-0.23849937,2.3969634,0.4834283,-0.19807886,-0.18056494,0.11796523,-0.69951886,0.21592961,1.4746549,-0.2811249,1.4834155,0.32291678,1.0,0.0,-1.5483562,0.0,-0.06816718,0.051306017,0.0,1.0,0.0,0.0,0.0
1,-0.4987039,-0.80156714,0.26598522,1.8570021,0.0035619205,-0.39654016,0.3462539,0.19568485,-0.18056494,0.11796523,-0.69951886,0.21592961,2.0969183,-0.2811249,2.0967627,1.7784768,0.0,1.0,0.4223867,0.0,1.8570021,1.8949211,0.0,1.0,0.0,0.0,0.0
0,0.63228565,-0.80156714,0.8706563,-0.74197644,-0.26539508,2.3969634,-0.33961818,-0.24183038,-0.18065251,0.11796523,1.4351549,0.7770924,-0.695522,-0.20741263,-0.66286707,-0.62743723,1.0,0.0,-0.9177782,0.0,-0.74197644,-0.29249403,0.0,0.0,0.0,0.0,1.0
0,0.9613662,1.5520805,0.21449424,-1.1590965,-0.26539508,-0.39654016,-0.33961818,-0.24183038,-0.18056494,0.11796523,1.4704282,0.23499517,-0.6791339,-0.2228185,-0.6484625,-0.6190796,0.0,0.0,-0.9177782,0.0,-1.1590965,-0.9831669,0.0,0.0,0.0,0.0,1.0
1,-1.113227,1.3308141,0.23258567,-0.45320106,1.0524942,-0.39654016,1.032126,2.3395095,-0.18056494,0.11796523,-0.69951886,0.19622853,0.013256302,-0.2811249,0.042957403,-0.21791282,0.0,0.0,-0.9177782,0.0,-0.45320106,-0.3280007,0.0,1.0,0.0,0.0,0.0
1,-0.28616205,-0.80156714,0.77741593,-0.45320106,-0.18470797,-0.39654016,-0.33961818,-0.11057582,-0.18065251,0.11796523,-0.69951886,0.69892365,-0.5713031,-0.2811249,-0.53322583,-0.55221844,0.0,0.0,-0.9177782,0.0,-0.45320106,-0.05794524,0.0,0.0,1.0,0.0,0.0
0,0.18307284,-0.80156714,0.87761456,-0.6350226,-0.23849937,-0.39654016,-0.33961818,-0.19807886,-0.18065251,0.11796523,1.4282866,0.79615796,-0.6151451,0.13573271,-0.57643956,-0.57729137,0.0,0.0,-0.9177782,0.0,-0.6350226,-0.17982867,0.0,0.0,1.0,0.0,0.0
0,0.30987918,0.9626896,0.8261236,-0.89171183,-0.26539508,2.3969634,-0.06526935,-0.15432733,-0.18065251,2.556558,1.4452829,0.7383258,-0.2790234,1.5844588,-0.24513422,-0.20955518,1.0,0.0,0.95845264,0.0,-0.89171183,-0.45671234,0.0,0.0,0.0,0.0,1.0
1,1.2468088,-0.80156714,0.028709225,1.2152791,0.0035619205,-0.39654016,0.20907947,-0.28558192,-0.18056494,0.11796523,-0.69951886,0.051965855,-0.25564104,-0.2811249,0.5471177,0.785004,0.0,1.0,1.7625515,0.0,1.2152791,1.1922989,0.0,1.0,0.0,0.0,0.0
1,0.21952325,1.3308141,-0.2294415,-0.06816718,-0.023333779,-0.39654016,-0.33961818,0.15193333,-0.18056494,0.11796523,-0.69951886,-0.22956882,-0.40265775,-0.2811249,-0.36699697,-0.32975477,0.0,0.0,0.95845264,0.0,-0.06816718,-0.18802252,0.0,1.0,0.0,0.0,0.0
1,-0.6506662,1.5520805,1.52821,-0.45320106,-0.23849937,-0.39654016,-0.33961818,-0.19807886,-0.18065251,0.11796523,-0.69951886,1.3573208,-0.5704263,-0.2811249,-0.53236157,-0.551717,0.0,0.0,-0.9177782,0.0,-0.45320106,0.2957557,0.0,0.0,1.0,0.0,0.0
1,-1.1650791,-0.4491074,0.43715796,-0.7098903,-0.23849937,-0.39654016,-0.33961818,-0.19807886,-0.18056494,0.11796523,-0.69951886,0.4091272,-0.4251633,-0.2811249,-0.38918003,-0.46864206,0.0,0.0,-0.9177782,0.0,-0.7098903,-0.45944363,0.0,1.0,0.0,0.0,0.0
1,-0.2035069,-0.80156714,0.09342086,1.8570021,0.0035619205,-0.39654016,-0.33961818,-0.28558192,-0.18056494,0.11796523,-0.69951886,0.10026526,0.14185938,-0.2811249,0.16971771,0.10134904,0.0,1.0,0.4223867,0.0,1.8570021,1.8327844,0.0,0.0,1.0,0.0,0.0
0,-1.2467074,-0.60183996,0.6556467,-1.0307518,-0.23849937,2.3969634,-0.33961818,-0.19807886,-0.18065251,0.11796523,1.490917,0.5838948,-0.46000302,0.44255266,-0.53322583,-0.55221844,1.0,0.0,-0.9177782,1.0,-1.0307518,-0.672825,0.0,0.0,0.0,0.0,1.0
0,-0.27948806,1.1957046,-0.21413337,-1.3088318,-0.26539508,-0.39654016,-0.06526935,-0.24183038,-0.18056494,0.11796523,1.2969722,-0.20986775,-0.5859171,0.23458087,-0.57643956,-0.57729137,0.0,0.0,-0.9177782,0.0,-1.3088318,-1.3655462,0.0,0.0,0.0,0.0,1.0
