NoDefault,Zip,NAICS,ApprovalDate,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,ChgOffDate,DisbursementDate,DisbursementGross,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,RevLineCr_-1,RevLineCr_0,RevLineCr_N,RevLineCr_T,RevLineCr_Y
0,-1.36838,-0.80156714,0.92562646,-0.93449336,-0.26539508,-0.39654016,-0.20244376,-0.24183038,-0.18065251,0.11796523,1.5037224,0.815859,-0.67360103,-0.14978439,-0.6340579,-0.5931709,0.0,0.0,0.95845264,0.0,-0.93449336,-0.45602953,0.0,0.0,1.0,0.0,0.0
1,-0.317992,-0.80156714,-0.30667797,1.2152791,-0.18470797,-0.39654016,-0.06526935,-0.11057582,-0.18056494,0.11796523,-0.69951886,-0.2594382,0.030793086,-0.2811249,0.0602429,0.22002754,0.0,1.0,1.7625515,0.0,1.2152791,1.0250078,0.0,0.0,1.0,0.0,0.0
0,-1.3493847,-0.80156714,0.002963736,-0.96657956,-0.23849937,-0.39654016,0.3462539,-0.19807886,-0.18056494,0.11796523,1.4388802,-0.01603462,-0.4232781,0.37997094,-0.5476304,-0.5605761,0.0,0.0,-0.9177782,0.0,-0.96657956,-0.93366235,0.0,0.0,0.0,0.0,1.0
1,-0.75437015,0.9626896,-2.2229774,-0.43181026,-0.23849937,2.3969634,-0.33961818,-0.28558192,-0.18056494,-2.3206275,-0.69951886,-2.008385,-0.49823323,-0.2811249,-0.46120292,-0.41013855,1.0,0.0,1.2264856,0.0,-0.43181026,-1.491868,0.0,0.0,1.0,0.0,0.0
1,-0.39654008,1.1957046,-1.0825218,1.2152791,-0.23849937,-0.39654016,0.4834283,-0.02307277,-0.18056494,0.11796523,-0.69951886,-0.9356298,-0.19133951,-0.2811249,-0.15870672,-0.03404473,0.0,1.0,1.7625515,0.0,1.2152791,0.66174746,0.0,0.0,1.0,0.0,0.0
1,-0.2892424,1.7048131,0.322347,-0.45320106,0.2725189,-0.39654016,6.5191026,1.9019942,-0.18065251,0.11796523,-0.69951886,0.660157,-0.65032387,-0.2811249,-0.6484625,-0.6190796,0.0,0.0,-0.9177782,0.0,-0.45320106,-0.07877126,0.0,0.0,0.0,0.0,1.0
1,-0.85088676,-0.5861751,-0.2934573,1.2152791,0.03045762,-0.39654016,0.20907947,-0.28558192,-0.18056494,0.11796523,-0.69951886,-0.10373616,0.3523008,-0.2811249,0.37714368,0.5877637,0.0,1.0,1.7625515,0.0,1.2152791,1.1086534,0.0,1.0,0.0,0.0,0.0
1,-0.69943786,1.1957046,-3.518602,-0.06816718,-0.18470797,2.3969634,-0.33961818,-0.28558192,-0.18056494,-2.3206275,-0.69951886,-3.2273092,-0.45439127,-0.2811249,-0.4179892,-0.3950948,1.0,0.0,0.6904197,0.0,-0.06816718,-1.7984544,0.0,0.0,1.0,0.0,0.0
1,0.06858773,-0.80156714,0.670259,-0.45320106,-0.15781227,2.3969634,-0.33961818,-0.066824295,-0.18065251,0.11796523,-0.69951886,0.60359585,-0.68076193,-0.2811249,-0.6484625,-0.6190796,1.0,0.0,-0.9177782,0.0,-0.45320106,-0.10915677,0.0,0.0,0.0,0.0,1.0
0,-1.3493847,-0.80156714,0.8727438,-0.80614877,-0.15781227,-0.39654016,-0.33961818,-0.066824295,-0.18065251,0.11796523,1.5005792,0.7770924,-0.56399614,0.23486097,-0.57643956,-0.57729137,0.0,0.0,-0.9177782,0.0,-0.80614877,-0.35394788,0.0,0.0,0.0,0.0,1.0
